+--------------------------+---------------------------------------------+
| NAME                     | TBL_NAME                                    |
+--------------------------+---------------------------------------------+
| refined_cem              | 10_percent_qoe_kpis                         |
| transient_om             | 20190424                                    |
| fms                      | a2p                                         |
| refined_simbox           | a2p                                         |
| trusted_sicli            | abonnement                                  |
| trusted_sicli            | acces_reseau                                |
| trusted_cdr              | achat_ia                                    |
| trusted_pfs              | achat_illiflex_tiers                        |
| transient_pfs            | achat_illiflex_tiers_2022072912             |
| transient_pfs            | achat_illiflex_tiers_2022072913             |
| transient_pfs            | achat_illiflex_tiers_2022072914             |
| transient_pfs            | achat_illiflex_tiers_2022072915             |
| transient_pfs            | achat_illiflex_tiers_2022073012             |
| transient_pfs            | achat_illiflex_tiers_2022073013             |
| transient_pfs            | achat_illiflex_tiers_2022073014             |
| transient_pfs            | achat_illiflex_tiers_2022073015             |
| transient_pfs            | achat_illiflex_tiers_2022073016             |
| transient_pfs            | achat_illiflex_tiers_2022073017             |
| transient_pfs            | achat_illiflex_tiers_2022073018             |
| transient_pfs            | achat_illiflex_tiers_2022073019             |
| transient_pfs            | achat_illiflex_tiers_2022073020             |
| transient_pfs            | achat_illiflex_tiers_2022073021             |
| transient_pfs            | achat_illiflex_tiers_2022073022             |
| transient_pfs            | achat_illiflex_tiers_2022073023             |
| transient_pfs            | achat_illiflex_tiers_2022073100             |
| transient_pfs            | achat_illiflex_tiers_2022073101             |
| transient_pfs            | achat_illiflex_tiers_2022073102             |
| transient_pfs            | achat_illiflex_tiers_2022073103             |
| transient_pfs            | achat_illiflex_tiers_2022073104             |
| transient_pfs            | achat_illiflex_tiers_2022073105             |
| transient_pfs            | achat_illiflex_tiers_2022073106             |
| transient_pfs            | achat_illiflex_tiers_2022073107             |
| transient_pfs            | achat_illiflex_tiers_2022073108             |
| transient_pfs            | achat_illiflex_tiers_2022073109             |
| transient_pfs            | achat_illiflex_tiers_2022073110             |
| transient_pfs            | achat_illiflex_tiers_2022073111             |
| transient_pfs            | achat_illiflex_tiers_2022073112             |
| transient_pfs            | achat_illiflex_tiers_2022073113             |
| transient_pfs            | achat_illiflex_tiers_2022073114             |
| transient_pfs            | achat_illiflex_tiers_2022073115             |
| transient_pfs            | achat_illiflex_tiers_2022073116             |
| transient_pfs            | achat_illiflex_tiers_2022073117             |
| transient_pfs            | achat_illiflex_tiers_2022073118             |
| transient_pfs            | achat_illiflex_tiers_2022073119             |
| transient_pfs            | achat_illiflex_tiers_2022073120             |
| transient_pfs            | achat_illiflex_tiers_2022073121             |
| transient_pfs            | achat_illiflex_tiers_2022073122             |
| transient_pfs            | achat_illiflex_tiers_2022073123             |
| transient_pfs            | achat_illiflex_tiers_2022080100             |
| transient_pfs            | achat_illiflex_tiers_2022080101             |
| transient_pfs            | achat_illiflex_tiers_2022080102             |
| transient_pfs            | achat_illiflex_tiers_2022080103             |
| transient_pfs            | achat_illiflex_tiers_2022080104             |
| transient_pfs            | achat_illiflex_tiers_2022080105             |
| transient_pfs            | achat_illiflex_tiers_2022080106             |
| transient_pfs            | achat_illiflex_tiers_2022080107             |
| transient_pfs            | achat_illiflex_tiers_2022080108             |
| transient_pfs            | achat_illiflex_tiers_2022080109             |
| transient_pfs            | achat_illiflex_tiers_2022080110             |
| transient_pfs            | achat_illiflex_tiers_2022080111             |
| transient_pfs            | achat_illiflex_tiers_2022080112             |
| transient_pfs            | achat_illiflex_tiers_2022080113             |
| transient_pfs            | achat_illiflex_tiers_2022080114             |
| transient_pfs            | achat_illiflex_tiers_2022080115             |
| transient_pfs            | achat_illiflex_tiers_2022080116             |
| transient_pfs            | achat_illiflex_tiers_2022080117             |
| transient_pfs            | achat_illiflex_tiers_2022080118             |
| transient_pfs            | achat_illiflex_tiers_2022080119             |
| transient_pfs            | achat_illiflex_tiers_2022080120             |
| transient_pfs            | achat_illiflex_tiers_2022080121             |
| transient_pfs            | achat_illiflex_tiers_2022080122             |
| transient_pfs            | achat_illiflex_tiers_2022080123             |
| trusted_cdr              | achat_pass_om                               |
| analytics                | acheteurs_illimix_dsc_0                     |
| analytics                | acheteurs_illimix_dsc_1                     |
| analytics                | actif_30_om                                 |
| refined_reporting        | actif_om_mobile_ussd                        |
| analytics                | actifs_wave                                 |
| analytics                | actions_distri30_2711                       |
| analytics                | actions_distri30_2711_ranking               |
| refined_gamingom         | activites_distri                            |
